kategorie,instrument,typ,position_usd,handel_usd,provision_usd,sonstige_usd,gesamt_usd,hinweis
Stillhaltergeschaeft,WAL 23FEB24 55 P,Option Short (laut Report),275.72,-51.72,-12.0,0.0,212.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,WAL 08MAR24 55 P,Option Short (laut Report),282.04,-70.04,-12.0,0.0,200.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,WAL 19APR24 54 P,Option Short (laut Report),380.0,-156.0,-6.0,0.0,218.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,WAL 14JUN24 55 P,Option Short (laut Report),90.16,53.84,-6.0,0.0,138.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,WAL 28JUN24 58 P,Option Short (laut Report),70.0,10.0,-6.0,0.0,74.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,X 12APR24 39 P,Option Short (laut Report),-4.26,106.26,-18.0,0.0,84.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,ZION 22MAR24 39 P,Option Short (laut Report),239.94,18.06,-18.0,0.0,240.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,ZION 28JUN24 39 P,Option Short (laut Report),106.8,199.2,-18.0,0.0,288.0,Aus Aktien- und Indexoptionen
Aktiengeschaeft,ACN ACCENTURE PLC-CL A,Aktie,-2008.0,-1069.0,-1.26,198.66,-2879.6,Aus Aktien-Sektion
Aktiengeschaeft,FCX FREEPORT-MCMORAN INC,Aktie,1946.0,-1995.0,0.0,89.25,40.25,Aus Aktien-Sektion
Aktiengeschaeft,HAL HALLIBURTON CO,Aktie,728.0,-833.0,-0.32,0.0,-105.32,Aus Aktien-Sektion
Aktiengeschaeft,HD HOME DEPOT INC,Aktie,693.0,-443.0,0.0,0.0,250.0,Aus Aktien-Sektion
Aktiengeschaeft,JD JD.COM INC-ADR,Aktie,774.0,-324.0,-0.15,0.0,449.85,Aus Aktien-Sektion
Aktiengeschaeft,NTES NETEASE INC-ADR,Aktie,4662.0,-2862.0,0.0,148.5,1948.5,Aus Aktien-Sektion
Aktiengeschaeft,NXPI NXP SEMICONDUCTORS NV,Aktie,3201.0,-2201.0,0.0,0.0,1000.0,Aus Aktien-Sektion
Aktiengeschaeft,SHEL SHELL PLC-ADR,Aktie,-333.0,333.0,0.0,0.0,0.0,Aus Aktien-Sektion
Aktiengeschaeft,TSM TAIWAN SEMICONDUCTOR-SP ADR,Aktie,-1782.0,-1268.0,-1.0,0.0,-3051.0,Aus Aktien-Sektion
Termingeschaeft,-,nicht separat ausgewiesen,0,0,0,0,0,leer zur Vermeidung von Doppelzaehlung
